Intervention	Model	A1_id357	ARF_id177	Akt_id40	Angiogenesis_id555	Apoptosis_id316	BAD_id324	BAXBAK_id318	BIM_id323	BNIP3_id567	Bcl_2_id319	Bcl_W_id356	Bcl_xl_id320	Beta_Catenin_id227	CDK2_id644	CDK4_id60	COX2_id564	Caspase3_id317	Caspase9_id343	Dishevelled_id222	E2F_1_id199	EGF_id30	EP4_id610	EZH2_id535	Elk_1_id661	ErbB1_ErbB1_id295	ErbB1_id298	Erk_id36	Ets_2_id38	FoxO_id63	Frizzled_id218	GSK3_Axin_APC_CK1_id288	GSK3_id45	HIF1_id558	HypoxiaInitial_id602	Hypoxia_id390	LRP_id247	MOMP_id342	MadMax_id7	Mad_id5	Max_id4	Mcl1_id321	Mek_id35	MycMax_id6	Myc_id2	Noxa_id325	PEA3_id563	PGE2_id606	PHD2_id557	PI3K_id33	PTEN_id531	PUMA_id322	Proliferation_id47	Raf_1_id34	Ras_id32	Rsk_id53	TCF_id228	TGFBeta_id9	TGFR_id8	TRAP1_id20	Twist_id637	VEGF_id671	VHL_id556	Wnt1_id242	cFos_id662	mdm2_id176	p15_id22	p16_id61	p21_id19	p27_id62	p38_id617	p53_id175	pRb_id198
A1_id357+E2F_1_id199	mixed-myc-low	[0]	[0]	[1]	[1, 2]	[2, 3, 4]	[1]	[4, 5, 6]	[0]	[0, 1]	[1]	[1]	[1]	[2]	[2]	[2]	[2]	[2, 3, 4]	[2, 3, 4]	[2]	[0]	[1]	[2]	[0]	[1]	[1]	[1]	[1]	[1]	[0]	[2]	[0]	[1]	[0, 1]	[1]	[0, 1]	[2]	[4, 5, 6]	[0]	[0]	[2]	[1]	[1]	[1]	[1]	[1]	[2]	[2]	[1, 2]	[2]	[1]	[0]	[0]	[1]	[1]	[1]	[2]	[0]	[0]	[1]	[2]	[1, 2, 3]	[1]	[2]	[1]	[2]	[0]	[0]	[0]	[0]	[1]	[0]	[2]
A1_id357+E2F_1_id199	mixed-myc-high	[0]	[1]	[0]	[1]	[5]	[1]	[5]	[1]	[0]	[1]	[1]	[1]	[2]	[3]	[2]	[2]	[5]	[5]	[2]	[0]	[1]	[2]	[0]	[1]	[1]	[1]	[1]	[1]	[1]	[2]	[0]	[1]	[0]	[1]	[1]	[2]	[5]	[0]	[0]	[2]	[0]	[1]	[2]	[2]	[2]	[2]	[2]	[1]	[2]	[2]	[1]	[0]	[1]	[1]	[1]	[2]	[0]	[0]	[2]	[2]	[1]	[1]	[2]	[1]	[1]	[0]	[0]	[0]	[0]	[1]	[1]	[1]
A1_id357+EP4_id610	healthy	[0]	[0]	[1]	[1]	[1]	[1]	[3]	[0]	[0]	[1]	[1]	[1]	[1]	[0]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[0]	[0]	[1]	[1]	[1]	[1]	[1]	[0]	[1]	[1]	[1]	[0]	[0]	[0]	[1]	[3]	[0]	[0]	[2]	[2]	[1]	[0]	[0]	[0]	[1]	[1]	[2]	[1]	[0]	[0]	[1]	[1]	[1]	[1]	[1]	[0]	[0]	[0]	[1]	[1]	[1]	[1]	[1]	[2]	[0]	[1]	[0]	[0]	[1]	[0]	[5]
A1_id357+EP4_id610	mixed-myc-low	[0]	[0]	[0, 1]	[1, 2]	[1, 2, 3, 4, 5, 6]	[1]	[3, 4, 5, 6]	[0, 1]	[0, 1]	[1]	[1]	[1]	[2]	[0, 1, 2]	[1, 2]	[2]	[1, 2, 3, 4, 5, 6]	[1, 2, 3, 4, 5, 6]	[2]	[1, 2, 3, 4]	[1]	[0]	[0, 1]	[1]	[1]	[1]	[1]	[1]	[0, 1]	[2]	[0]	[1]	[0, 1]	[1]	[0, 1]	[2]	[3, 4, 5, 6]	[0]	[0]	[2]	[1, 2]	[1]	[0, 1]	[0, 1]	[0, 1]	[2]	[2]	[1, 2]	[1]	[0, 1]	[0]	[1, 2, 3, 4]	[1]	[1]	[1]	[2]	[0]	[0]	[0, 1]	[2]	[1, 2, 3]	[1]	[2]	[1]	[2]	[0]	[0, 1]	[0, 1]	[0]	[1]	[0]	[2, 3, 4, 5]
A1_id357+EP4_id610	mixed-myc-high	[0]	[1]	[0]	[1]	[4]	[1]	[4]	[0]	[0]	[1]	[1]	[1]	[2]	[3]	[2]	[2]	[4]	[4]	[2]	[5]	[1]	[0]	[2]	[1]	[1]	[1]	[1]	[1]	[1]	[2]	[0]	[1]	[0]	[1]	[1]	[2]	[4]	[0]	[0]	[2]	[1]	[1]	[2]	[2]	[2]	[2]	[2]	[1]	[1]	[2]	[1]	[5]	[1]	[1]	[1]	[2]	[0]	[0]	[2]	[2]	[1]	[1]	[2]	[1]	[1]	[0]	[0]	[0]	[0]	[1]	[1]	[1]
A1_id357+EZH2_id535	healthy	[0]	[0]	[1]	[1]	[1]	[1]	[3]	[0]	[0]	[1]	[1]	[1]	[1]	[0]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[0]	[1]	[1]	[1]	[1]	[1]	[0]	[1]	[1]	[1]	[0]	[0]	[0]	[1]	[3]	[0]	[0]	[2]	[2]	[1]	[0]	[0]	[0]	[1]	[1]	[2]	[1]	[0]	[0]	[1]	[1]	[1]	[1]	[1]	[0]	[0]	[0]	[1]	[1]	[1]	[1]	[1]	[2]	[0]	[1]	[0]	[0]	[1]	[0]	[5]
A1_id357+EZH2_id535	mixed-myc-low	[0]	[0]	[1]	[1, 2]	[2, 3, 4]	[1]	[4, 5, 6]	[0]	[0, 1]	[1]	[1]	[1]	[2]	[2]	[2]	[2]	[2, 3, 4]	[2, 3, 4]	[2]	[4]	[1]	[2]	[0]	[1]	[1]	[1]	[1]	[1]	[0]	[2]	[0]	[1]	[0, 1]	[1]	[0, 1]	[2]	[4, 5, 6]	[0]	[0]	[2]	[1]	[1]	[1]	[1]	[1]	[2]	[2]	[1, 2]	[2]	[1]	[0]	[4]	[1]	[1]	[1]	[2]	[0]	[0]	[1]	[2]	[1, 2, 3]	[1]	[2]	[1]	[2]	[0]	[0]	[0]	[0]	[1]	[0]	[2]
A1_id357+EZH2_id535	mixed-myc-high	[0]	[1]	[0]	[1]	[5]	[1]	[5]	[1]	[0]	[1]	[1]	[1]	[2]	[3]	[2]	[2]	[5]	[5]	[2]	[5]	[1]	[2]	[0]	[1]	[1]	[1]	[1]	[1]	[1]	[2]	[0]	[1]	[0]	[1]	[1]	[2]	[5]	[0]	[0]	[2]	[0]	[1]	[2]	[2]	[2]	[2]	[2]	[1]	[2]	[2]	[1]	[5]	[1]	[1]	[1]	[2]	[0]	[0]	[2]	[2]	[1]	[1]	[2]	[1]	[1]	[0]	[0]	[0]	[0]	[1]	[1]	[1]
A1_id357+Elk_1_id661	healthy	[0]	[0]	[1]	[1]	[1]	[1]	[3]	[0]	[0]	[1]	[1]	[1]	[1]	[0]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[0]	[0]	[1]	[1]	[1]	[1]	[0]	[1]	[1]	[1]	[0]	[0]	[0]	[1]	[3]	[0]	[0]	[2]	[2]	[1]	[0]	[0]	[0]	[1]	[1]	[2]	[1]	[0]	[0]	[1]	[1]	[1]	[1]	[1]	[0]	[0]	[0]	[1]	[1]	[1]	[1]	[0]	[2]	[0]	[1]	[0]	[0]	[1]	[0]	[5]
A1_id357+Elk_1_id661	mixed-myc-low	[0]	[0]	[1, 2]	[1, 2]	[0, 1, 2, 3, 4]	[0, 1]	[2, 3, 4, 5, 6]	[0, 1]	[0, 1, 2]	[1, 2]	[1, 2]	[1, 2]	[2]	[0, 1, 2]	[0, 1, 2]	[2]	[0, 1, 2, 3, 4]	[0, 1, 2, 3, 4]	[2]	[0, 1, 2, 3, 4]	[1]	[2]	[0]	[0]	[1]	[1]	[1]	[1]	[0, 1]	[2]	[0]	[0, 1]	[0, 1, 2]	[1]	[0, 1]	[2]	[2, 3, 4, 5, 6]	[0]	[0]	[2]	[1, 2]	[1]	[0, 1]	[0, 1]	[0, 1]	[2]	[2]	[1, 2]	[2]	[0, 1]	[0, 1]	[0, 1, 2, 3, 4]	[1]	[1]	[1]	[2]	[0]	[0]	[0, 1]	[2]	[1, 2, 3]	[1]	[2]	[0]	[1, 2]	[0]	[0, 1]	[0, 1]	[0, 1]	[1]	[0, 1]	[2, 3, 4, 5, 6]
A1_id357+Elk_1_id661	mixed-myc-high	[0]	[1]	[0]	[1]	[4]	[1]	[4]	[0]	[0]	[1]	[1]	[1]	[2]	[3]	[2]	[2]	[4]	[4]	[2]	[5]	[1]	[2]	[2]	[0]	[1]	[1]	[1]	[1]	[1]	[2]	[0]	[1]	[0]	[1]	[1]	[2]	[4]	[0]	[0]	[2]	[1]	[1]	[2]	[2]	[2]	[2]	[2]	[1]	[2]	[2]	[1]	[5]	[1]	[1]	[1]	[2]	[0]	[0]	[2]	[2]	[1]	[1]	[2]	[0]	[1]	[0]	[0]	[0]	[0]	[1]	[1]	[1]
A1_id357+ErbB1_id298	healthy	[0]	[0]	[1]	[0]	[1]	[1]	[3]	[0]	[0]	[1]	[1]	[1]	[1]	[0]	[0]	[1]	[1]	[1]	[1]	[0]	[1]	[1]	[0]	[0]	[0]	[0]	[0]	[0]	[1]	[1]	[1]	[1]	[0]	[0]	[0]	[1]	[3]	[0]	[0]	[2]	[2]	[0]	[0]	[0]	[0]	[1]	[1]	[2]	[1]	[0]	[0]	[0]	[0]	[0]	[0]	[1]	[0]	[0]	[0]	[1]	[0]	[1]	[1]	[0]	[2]	[0]	[0]	[0]	[0]	[0]	[0]	[6]
A1_id357+ErbB1_id298	mixed-myc-low	[0]	[0]	[1]	[1]	[4]	[1]	[6]	[1]	[1]	[1]	[1]	[1]	[2]	[0]	[0]	[2]	[4]	[4]	[2]	[0]	[1]	[2]	[0]	[0]	[0]	[0]	[0]	[0]	[2]	[2]	[0]	[1]	[1]	[1]	[1]	[2]	[6]	[0]	[0]	[2]	[1]	[0]	[0]	[0]	[0]	[2]	[2]	[1]	[1]	[0]	[0]	[0]	[0]	[0]	[0]	[2]	[0]	[0]	[0]	[2]	[2]	[1]	[2]	[0]	[2]	[0]	[0]	[1]	[1]	[0]	[0]	[6]
A1_id357+ErbB1_id298	mixed-myc-high	[0]	[1]	[0]	[1]	[6]	[2]	[6]	[1]	[0]	[0]	[0]	[0]	[2]	[3]	[2]	[2]	[6]	[6]	[2]	[5]	[1]	[2]	[2]	[0]	[0]	[0]	[0]	[0]	[1]	[2]	[0]	[1]	[0]	[1]	[1]	[2]	[6]	[0]	[0]	[2]	[0]	[0]	[2]	[2]	[2]	[2]	[2]	[1]	[1]	[2]	[1]	[5]	[0]	[0]	[0]	[2]	[0]	[0]	[2]	[2]	[1]	[1]	[2]	[0]	[1]	[0]	[0]	[0]	[0]	[0]	[1]	[1]
A1_id357+Erk_id36	healthy	[0]	[0]	[1]	[1]	[1]	[1]	[3]	[0]	[0]	[1]	[1]	[1]	[1]	[0]	[0]	[1]	[1]	[1]	[1]	[0]	[1]	[1]	[0]	[0]	[1]	[1]	[0]	[0]	[1]	[1]	[1]	[1]	[0]	[0]	[0]	[1]	[3]	[0]	[0]	[2]	[2]	[1]	[0]	[0]	[0]	[1]	[1]	[2]	[1]	[0]	[0]	[0]	[1]	[1]	[0]	[1]	[0]	[0]	[0]	[1]	[1]	[1]	[1]	[0]	[2]	[0]	[0]	[0]	[0]	[1]	[0]	[6]
A1_id357+Erk_id36	mixed-myc-low	[0]	[0]	[2]	[2]	[1]	[0]	[5]	[0]	[1]	[2]	[2]	[2]	[2]	[0]	[1]	[2]	[1]	[1]	[2]	[1]	[1]	[2]	[0]	[0]	[1]	[1]	[0]	[0]	[0]	[2]	[0]	[1]	[1]	[1]	[0]	[2]	[5]	[0]	[0]	[2]	[2]	[1]	[0]	[0]	[0]	[2]	[2]	[2]	[2]	[0]	[0]	[1]	[1]	[1]	[0]	[2]	[0]	[0]	[0]	[2]	[3]	[1]	[2]	[0]	[2]	[0]	[0]	[0]	[0]	[1]	[0]	[5]
A1_id357+Erk_id36	mixed-myc-high	[0]	[1]	[0]	[1]	[6]	[2]	[6]	[1]	[0]	[0]	[0]	[0]	[2]	[3]	[2]	[2]	[6]	[6]	[2]	[5]	[1]	[2]	[2]	[0]	[1]	[1]	[0]	[0]	[1]	[2]	[0]	[1]	[0]	[1]	[1]	[2]	[6]	[0]	[0]	[2]	[0]	[1]	[2]	[2]	[2]	[2]	[2]	[1]	[2]	[2]	[1]	[5]	[1]	[1]	[0]	[2]	[0]	[0]	[2]	[2]	[1]	[1]	[2]	[0]	[1]	[0]	[0]	[0]	[0]	[1]	[1]	[1]
A1_id357+Ets_2_id38	healthy	[0]	[0]	[1]	[1]	[1]	[1]	[3]	[0]	[0]	[1]	[1]	[1]	[1]	[0]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[0]	[1]	[1]	[1]	[1]	[0]	[0]	[1]	[1]	[1]	[0]	[0]	[0]	[1]	[3]	[0]	[0]	[2]	[2]	[1]	[0]	[0]	[0]	[1]	[1]	[2]	[1]	[0]	[0]	[1]	[1]	[1]	[1]	[1]	[0]	[0]	[0]	[1]	[1]	[1]	[1]	[1]	[2]	[0]	[0]	[0]	[0]	[1]	[0]	[5]
A1_id357+Ets_2_id38	mixed-myc-low	[0]	[0]	[1, 2]	[1, 2]	[0, 1, 2, 3, 4]	[0, 1]	[2, 3, 4, 5, 6]	[0, 1]	[0, 1, 2]	[1, 2]	[1, 2]	[1, 2]	[2]	[0, 1, 2]	[1, 2]	[2]	[0, 1, 2, 3, 4]	[0, 1, 2, 3, 4]	[2]	[1, 2, 3, 4]	[1]	[2]	[0]	[1]	[1]	[1]	[1]	[0]	[0, 1]	[2]	[0]	[0, 1]	[0, 1, 2]	[1]	[0, 1]	[2]	[2, 3, 4, 5, 6]	[0]	[0]	[2]	[1, 2]	[1]	[0, 1]	[0, 1]	[0, 1]	[2]	[2]	[1, 2]	[2]	[0, 1]	[0, 1]	[1, 2, 3, 4]	[1]	[1]	[1]	[2]	[0]	[0]	[0, 1]	[2]	[1, 2, 3]	[1]	[2]	[1]	[1, 2]	[0]	[0]	[0, 1]	[0, 1]	[1]	[0, 1]	[2, 3, 4, 5]
A1_id357+Ets_2_id38	mixed-myc-high	[0]	[1]	[0]	[1]	[4]	[1]	[4]	[0]	[0]	[1]	[1]	[1]	[2]	[3]	[2]	[2]	[4]	[4]	[2]	[5]	[1]	[2]	[2]	[1]	[1]	[1]	[1]	[0]	[1]	[2]	[0]	[1]	[0]	[1]	[1]	[2]	[4]	[0]	[0]	[2]	[1]	[1]	[2]	[2]	[2]	[2]	[2]	[1]	[2]	[2]	[1]	[5]	[1]	[1]	[1]	[2]	[0]	[0]	[2]	[2]	[1]	[1]	[2]	[1]	[1]	[0]	[0]	[0]	[0]	[1]	[1]	[1]
A1_id357+Frizzled_id218	healthy	[0]	[0]	[1]	[0]	[1]	[1]	[3]	[0]	[0]	[1]	[1]	[1]	[0]	[0]	[0]	[0]	[1]	[1]	[0]	[0]	[1]	[0]	[0]	[1]	[1]	[1]	[1]	[1]	[0]	[0]	[2]	[1]	[0]	[0]	[0]	[1]	[3]	[0]	[0]	[2]	[2]	[1]	[0]	[0]	[0]	[0]	[0]	[2]	[1]	[0]	[0]	[0]	[1]	[1]	[1]	[0]	[0]	[0]	[0]	[0]	[0]	[1]	[1]	[1]	[2]	[0]	[1]	[0]	[0]	[1]	[0]	[6]
A1_id357+Frizzled_id218	mixed-myc-low	[0]	[0]	[1]	[1]	[4]	[1]	[6]	[0]	[1]	[1]	[1]	[1]	[0]	[0]	[0]	[0]	[4]	[4]	[0]	[0]	[1]	[0]	[0]	[1]	[1]	[1]	[1]	[1]	[1]	[0]	[2]	[1]	[1]	[1]	[1]	[2]	[6]	[0]	[0]	[2]	[2]	[1]	[0]	[0]	[0]	[0]	[0]	[1]	[1]	[0]	[0]	[0]	[1]	[1]	[1]	[0]	[0]	[0]	[0]	[0]	[2]	[1]	[2]	[1]	[2]	[0]	[1]	[0]	[1]	[1]	[0]	[6]
A1_id357+Frizzled_id218	mixed-myc-high	[0]	[2]	[0]	[0]	[5]	[1]	[5]	[0]	[0]	[1]	[1]	[1]	[0]	[2]	[1]	[0]	[5]	[5]	[0]	[3]	[1]	[0]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[0]	[2]	[2]	[0]	[1]	[1]	[2]	[5]	[0]	[0]	[2]	[0]	[1]	[2]	[2]	[2]	[0]	[0]	[1]	[1]	[2]	[2]	[3]	[1]	[1]	[1]	[0]	[0]	[0]	[2]	[0]	[0]	[1]	[2]	[1]	[0]	[0]	[0]	[1]	[0]	[1]	[2]	[3]
A1_id357+GSK3_id45	healthy	[0]	[0]	[1]	[1]	[2]	[1]	[4]	[0]	[0]	[1]	[1]	[1]	[2]	[2]	[2]	[2]	[2]	[2]	[1]	[4]	[1]	[2]	[0]	[1]	[1]	[1]	[1]	[1]	[0]	[1]	[0]	[0]	[0]	[0]	[0]	[1]	[4]	[0]	[0]	[2]	[1]	[1]	[1]	[1]	[1]	[2]	[2]	[2]	[2]	[1]	[0]	[4]	[1]	[1]	[1]	[2]	[0]	[0]	[1]	[2]	[1]	[1]	[1]	[1]	[2]	[0]	[0]	[0]	[0]	[1]	[0]	[2]
A1_id357+GSK3_id45	mixed-myc-low	[0]	[0]	[1]	[1, 2]	[2, 3, 4]	[1]	[4, 5, 6]	[0]	[0, 1]	[1]	[1]	[1]	[2]	[2]	[2]	[2]	[2, 3, 4]	[2, 3, 4]	[2]	[4]	[1]	[2]	[0]	[1]	[1]	[1]	[1]	[1]	[0]	[2]	[0]	[0]	[0, 1]	[1]	[0, 1]	[2]	[4, 5, 6]	[0]	[0]	[2]	[1]	[1]	[1]	[1]	[1]	[2]	[2]	[1, 2]	[2]	[1]	[0]	[4]	[1]	[1]	[1]	[2]	[0]	[0]	[1]	[2]	[1, 2, 3]	[1]	[2]	[1]	[2]	[0]	[0]	[0]	[0]	[1]	[0]	[2]
A1_id357+GSK3_id45	mixed-myc-high	[0]	[1]	[0]	[1]	[4]	[1]	[4]	[0]	[0]	[1]	[1]	[1]	[2]	[3]	[2]	[2]	[4]	[4]	[2]	[5]	[1]	[2]	[2]	[1]	[1]	[1]	[1]	[1]	[1]	[2]	[0]	[0]	[0]	[1]	[1]	[2]	[4]	[0]	[0]	[2]	[1]	[1]	[2]	[2]	[2]	[2]	[2]	[1]	[2]	[2]	[1]	[5]	[1]	[1]	[1]	[2]	[0]	[0]	[2]	[2]	[1]	[1]	[2]	[1]	[1]	[0]	[0]	[0]	[0]	[1]	[1]	[1]
A1_id357+HIF1_id558	healthy	[0]	[0]	[1]	[1]	[1]	[1]	[3]	[0]	[0]	[1]	[1]	[1]	[1]	[0]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[0]	[1]	[1]	[1]	[1]	[1]	[0]	[1]	[1]	[1]	[0]	[0]	[0]	[1]	[3]	[0]	[0]	[2]	[2]	[1]	[0]	[0]	[0]	[1]	[1]	[2]	[1]	[0]	[0]	[1]	[1]	[1]	[1]	[1]	[0]	[0]	[0]	[1]	[1]	[1]	[1]	[1]	[2]	[0]	[1]	[0]	[0]	[1]	[0]	[5]
A1_id357+HIF1_id558	mixed-myc-low	[0]	[0]	[1]	[1]	[2]	[1]	[4]	[0]	[0]	[1]	[1]	[1]	[2]	[2]	[2]	[2]	[2]	[2]	[2]	[4]	[1]	[2]	[0]	[1]	[1]	[1]	[1]	[1]	[0]	[2]	[0]	[1]	[0]	[1]	[1]	[2]	[4]	[0]	[0]	[2]	[1]	[1]	[1]	[1]	[1]	[2]	[2]	[1]	[2]	[1]	[0]	[4]	[1]	[1]	[1]	[2]	[0]	[0]	[1]	[2]	[1]	[1]	[2]	[1]	[2]	[0]	[0]	[0]	[0]	[1]	[0]	[2]
A1_id357+HIF1_id558	mixed-myc-high	[0]	[1]	[0]	[1]	[4]	[1]	[4]	[0]	[0]	[1]	[1]	[1]	[2]	[3]	[2]	[2]	[4]	[4]	[2]	[5]	[1]	[2]	[2]	[1]	[1]	[1]	[1]	[1]	[1]	[2]	[0]	[1]	[0]	[1]	[1]	[2]	[4]	[0]	[0]	[2]	[1]	[1]	[2]	[2]	[2]	[2]	[2]	[1]	[2]	[2]	[1]	[5]	[1]	[1]	[1]	[2]	[0]	[0]	[2]	[2]	[1]	[1]	[2]	[1]	[1]	[0]	[0]	[0]	[0]	[1]	[1]	[1]
A1_id357+Mcl1_id321	healthy	[0]	[0]	[1]	[1]	[3]	[1]	[5]	[0]	[0]	[1]	[1]	[1]	[1]	[0]	[1]	[1]	[3]	[3]	[1]	[1]	[1]	[1]	[0]	[1]	[1]	[1]	[1]	[1]	[0]	[1]	[1]	[1]	[0]	[0]	[0]	[1]	[5]	[0]	[0]	[2]	[0]	[1]	[0]	[0]	[0]	[1]	[1]	[2]	[1]	[0]	[0]	[1]	[1]	[1]	[1]	[1]	[0]	[0]	[0]	[1]	[1]	[1]	[1]	[1]	[2]	[0]	[1]	[0]	[0]	[1]	[0]	[5]
A1_id357+Mek_id35	healthy	[0]	[0]	[1]	[0]	[1]	[1]	[3]	[0]	[0]	[1]	[1]	[1]	[1]	[0]	[0]	[1]	[1]	[1]	[1]	[0]	[1]	[1]	[0]	[0]	[1]	[1]	[0]	[0]	[1]	[1]	[1]	[1]	[0]	[0]	[0]	[1]	[3]	[0]	[0]	[2]	[2]	[0]	[0]	[0]	[0]	[1]	[1]	[2]	[1]	[0]	[0]	[0]	[1]	[1]	[0]	[1]	[0]	[0]	[0]	[1]	[0]	[1]	[1]	[0]	[2]	[0]	[0]	[0]	[0]	[0]	[0]	[6]
A1_id357+Mek_id35	mixed-myc-low	[0]	[0]	[1, 2]	[1, 2]	[0, 1, 2, 3, 4]	[0, 1]	[2, 3, 4, 5, 6]	[0, 1]	[0, 1, 2]	[1, 2]	[1, 2]	[1, 2]	[2]	[0]	[0, 1]	[2]	[0, 1, 2, 3, 4]	[0, 1, 2, 3, 4]	[2]	[0, 1]	[1]	[2]	[0]	[0]	[1]	[1]	[0]	[0]	[0, 1, 2]	[2]	[0]	[1]	[0, 1, 2]	[1]	[0, 1]	[2]	[2, 3, 4, 5, 6]	[0]	[0]	[2]	[1, 2]	[0]	[0]	[0]	[0, 1]	[2]	[2]	[1, 2]	[2]	[0, 1]	[0, 1]	[0, 1]	[1]	[1]	[0]	[2]	[0]	[0]	[0]	[2]	[1, 2, 3]	[1]	[2]	[0]	[1, 2]	[0]	[0]	[0, 1]	[0, 1]	[0]	[0, 1]	[5, 6]
A1_id357+Mek_id35	mixed-myc-high	[0]	[1]	[0]	[1]	[6]	[2]	[6]	[1]	[0]	[0]	[0]	[0]	[2]	[3]	[2]	[2]	[6]	[6]	[2]	[5]	[1]	[2]	[2]	[0]	[1]	[1]	[0]	[0]	[1]	[2]	[0]	[1]	[0]	[1]	[1]	[2]	[6]	[0]	[0]	[2]	[0]	[0]	[2]	[2]	[2]	[2]	[2]	[1]	[2]	[2]	[1]	[5]	[1]	[1]	[0]	[2]	[0]	[0]	[2]	[2]	[1]	[1]	[2]	[0]	[1]	[0]	[0]	[0]	[0]	[0]	[1]	[1]
A1_id357+Myc_id2	healthy	[0]	[0]	[1]	[1]	[1]	[1]	[3]	[0]	[0]	[1]	[1]	[1]	[1]	[0]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[0]	[1]	[1]	[1]	[1]	[1]	[0]	[1]	[1]	[1]	[0]	[0]	[0]	[1]	[3]	[0]	[0]	[2]	[2]	[1]	[0]	[0]	[0]	[1]	[1]	[2]	[1]	[0]	[0]	[1]	[1]	[1]	[1]	[1]	[0]	[0]	[0]	[1]	[1]	[1]	[1]	[1]	[2]	[0]	[1]	[0]	[0]	[1]	[0]	[5]
A1_id357+Myc_id2	mixed-myc-low	[0]	[0]	[2]	[2]	[1]	[0]	[5]	[0]	[1]	[2]	[2]	[2]	[2]	[0]	[1]	[2]	[1]	[1]	[2]	[1]	[1]	[2]	[0]	[1]	[1]	[1]	[1]	[1]	[0]	[2]	[0]	[0]	[1]	[1]	[0]	[2]	[5]	[0]	[0]	[2]	[2]	[1]	[0]	[0]	[0]	[2]	[2]	[2]	[2]	[0]	[0]	[1]	[1]	[1]	[1]	[2]	[0]	[0]	[0]	[2]	[3]	[1]	[2]	[1]	[2]	[0]	[1]	[0]	[0]	[1]	[0]	[5]
A1_id357+Myc_id2	mixed-myc-high	[0]	[0]	[2]	[2]	[1]	[0]	[5]	[0]	[1]	[2]	[2]	[2]	[2]	[0]	[1]	[2]	[1]	[1]	[2]	[1]	[1]	[2]	[0]	[1]	[1]	[1]	[1]	[1]	[0]	[2]	[0]	[0]	[1]	[1]	[0]	[2]	[5]	[0]	[0]	[2]	[2]	[1]	[0]	[0]	[0]	[2]	[2]	[2]	[2]	[0]	[0]	[1]	[1]	[1]	[1]	[2]	[0]	[0]	[0]	[2]	[3]	[1]	[2]	[1]	[2]	[0]	[1]	[0]	[0]	[1]	[0]	[5]
A1_id357+Noxa_id325	healthy	[0]	[0]	[1]	[1]	[1]	[1]	[3]	[0]	[0]	[1]	[1]	[1]	[1]	[0]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[1]	[0]	[1]	[1]	[1]	[1]	[1]	[0]	[1]	[1]	[1]	[0]	[0]	[0]	[1]	[3]	[0]	[0]	[2]	[2]	[1]	[0]	[0]	[0]	[1]	[1]	[2]	[1]	[0]	[0]	[1]	[1]	[1]	[1]	[1]	[0]	[0]	[0]	[1]	[1]	[1]	[1]	[1]	[2]	[0]	[1]	[0]	[0]	[1]	[0]	[5]
A1_id357+Noxa_id325	mixed-myc-low	[0]	[0]	[1]	[1, 2]	[1, 2, 3, 4]	[1]	[3, 4, 5, 6]	[0]	[0, 1]	[1]	[1]	[1]	[2]	[2]	[2]	[2]	[1, 2, 3, 4]	[1, 2, 3, 4]	[2]	[4]	[1]	[2]	[0]	[1]	[1]	[1]	[1]	[1]	[0]	[2]	[0]	[1]	[0, 1]	[1]	[0, 1]	[2]	[3, 4, 5, 6]	[0]	[0]	[2]	[2]	[1]	[1]	[1]	[0]	[2]	[2]	[1, 2]	[2]	[1]	[0]	[4]	[1]	[1]	[1]	[2]	[0]	[0]	[1]	[2]	[1, 2, 3]	[1]	[2]	[1]	[2]	[0]	[0]	[0]	[0]	[1]	[0]	[2]
A1_id357+Noxa_id325	mixed-myc-high	[0]	[1]	[0]	[1]	[4]	[1]	[4]	[0]	[0]	[1]	[1]	[1]	[2]	[3]	[2]	[2]	[4]	[4]	[2]	[5]	[1]	[2]	[2]	[1]	[1]	[1]	[1]	[1]	[1]	[2]	[0]	[1]	[0]	[1]	[1]	[2]	[4]	[0]	[0]	[2]	[1]	[1]	[2]	[2]	[0]	[2]	[2]	[1]	[2]	[2]	[1]	[5]	[1]	[1]	[1]	[2]	[0]	[0]	[2]	[2]	[1]	[1]	[2]	[1]	[1]	[0]	[0]	[0]	[0]	[1]	[1]	[1]
A1_id357+PEA3_id563	healthy	[0]	[0]	[1]	[0]	[1]	[1]	[3]	[0]	[0]	[1]	[1]	[1]	[1]	[0]	[1]	[0]	[1]	[1]	[1]	[1]	[1]	[0]	[0]	[1]	[1]	[1]	[1]	[1]	[0]	[1]	[1]	[1]	[0]	[0]	[0]	[1]	[3]	[0]	[0]	[2]	[2]	[1]	[0]	[0]	[0]	[0]	[0]	[2]	[1]	[0]	[0]	[1]	[1]	[1]	[1]	[1]	[0]	[0]	[0]	[1]	[0]	[1]	[1]	[1]	[2]	[0]	[1]	[0]	[0]	[1]	[0]	[5]
